time,bits/s
1574443964.022392,111434065.97422625
1574443964.126389,115675204.19636275
1574443964.226472,119158847.79178832
1574443964.330053,112012815.33305542
1574443964.433887,114959551.92266874
1574443964.537862,114794475.63030453
1574443964.64196,115909033.11885637
1574443964.745986,115445438.72870429
1574443964.849683,114896537.79374532
1574443964.953672,115586033.16050975
1574443965.053736,118258373.33337148
1574443965.157733,112902140.35442573
1574443965.261657,114305392.79117167
1574443965.361735,118844586.30210559
1574443965.465484,112301353.7491778
1574443965.569419,114965789.75907978
1574443965.669483,119064330.28764857
1574443965.772994,111300514.45384611
1574443965.873137,119814243.96730131
1574443965.976644,111979058.23568998
1574443966.080543,114990069.25529751
1574443966.180627,119047870.67044209
1574443966.28441,111236573.71570955
1574443966.384518,118209903.66864052
1574443966.488442,111960442.52041313
1574443966.588517,118246534.04999487
1574443966.692413,112566585.75153843
1574443966.796344,114541835.54076445
1574443966.896461,119595826.46798757
1574443967.000038,112257300.45865266
1574443967.103995,114843210.7867809
1574443967.207951,114715127.69899914
1574443967.308053,119613782.85777475
1574443967.411637,112247733.48644714
1574443967.515422,114651055.34525369
1574443967.615523,117996341.82303159
1574443967.719424,112778057.81768173
1574443967.819891,118260735.69847737
1574443967.923192,111427874.83486302
1574443968.023227,118034037.18917166
1574443968.127085,112716193.79454021
1574443968.227195,117991280.1006275
1574443968.330919,112097204.01763833
1574443968.431039,119242533.85168912
1574443968.534561,111629228.25280565
1574443968.638429,115497444.06212248
1574443968.742242,115511770.3465765
1574443968.846234,115239486.39233309
1574443968.950046,114996006.42964815
1574443969.050109,119298532.40986057
1574443969.15396,111943734.74116936
1574443969.25405,118898625.1458799
1574443969.357603,110898148.17465648
1574443969.457669,119164812.0961025
1574443969.561331,111796377.67975684
1574443969.66142,117764468.72926429
1574443969.76504,112400878.45699488
1574443969.86509,119538443.94495781
1574443969.968532,111153931.11811373
1574443970.068604,119880223.4904167
1574443970.1722,112235583.1971239
1574443970.276248,114515359.95113742
1574443970.380171,114851908.43430565
1574443970.480295,119594686.56176177
1574443970.583882,111229508.93212497
1574443970.684032,119335555.7134594
1574443970.787491,111141115.50297233
1574443970.887577,119606656.66100608
1574443970.991138,111018747.22606324
1574443971.095127,115681837.49660064
1574443971.195214,118116642.12597093
1574443971.298944,112410769.63337849
1574443971.402864,115318049.03024878
1574443971.50703,115857790.57855965
1574443971.610817,114350300.98660514
1574443971.710899,119399840.01433952
1574443971.814642,111292342.55284564
1574443971.914735,119381913.0931285
1574443972.018364,111406099.8940004
1574443972.118425,119307918.02258164
1574443972.222105,111330748.09306306
1574443972.322208,118904574.99284409
1574443972.425831,111515642.88928792
1574443972.52594,119364275.98111828
1574443972.629403,111017302.21477847
1574443972.729473,119632885.25316839
1574443972.833028,111105069.53060491
1574443972.937081,115609443.03754152
1574443973.037197,119148340.70814328
1574443973.140775,111550310.72529608
1574443973.240855,118135506.73105986
1574443973.344595,112169747.097853
1574443973.444693,119385611.8582807
1574443973.548334,112077220.9776992
1574443973.648785,118454445.08630218
1574443973.752031,112264446.4993334
1574443973.852111,118488895.52505572
1574443973.955749,111032197.65136044
1574443974.055825,119308202.45814212
1574443974.159329,111750721.69724067
1574443974.259414,118811445.90318252
1574443974.363197,111906416.32548581
1574443974.463254,119069439.37019166
1574443974.56701,111486592.08328563
1574443974.671151,114969539.7448368
1574443974.775102,114833196.94557837
1574443974.875155,119767537.84480855
1574443974.97873,111330897.13501415
1574443975.078817,117882512.24229829
1574443975.182568,112060343.33447082
1574443975.282632,118731300.91382225
1574443975.386407,112471553.36528312
1574443975.49032,114653102.86753681
1574443975.594339,115435378.19323798
1574443975.694386,119531319.82586266
1574443975.797861,110972269.75204661
1574443975.901862,115776553.79117349
1574443976.005891,115200377.28181903
1574443976.105965,119420334.51804666
1574443976.209664,110876239.34491214
1574443976.309768,119514795.13935877
1574443976.413394,111388918.91249084
1574443976.513504,119009577.11032164
1574443976.6172,111885518.96536605
1574443976.721147,114606801.12848142
1574443976.821241,118121428.09713125
1574443976.925224,112927008.49610525
1574443977.025319,118699323.03937459
1574443977.128903,111107116.43725532
1574443977.229065,119348634.51733537
1574443977.33259,111383480.55396965
1574443977.436829,116209269.42981653
1574443977.540812,114201738.87972675
1574443977.640916,119606656.66100608
1574443977.744321,111096966.03878625
1574443977.848247,115637232.35722679
1574443977.948299,119428591.23642771
1574443978.05197,111116906.44053976
1574443978.15203,117798719.88831568
1574443978.252089,116181813.8199885
1574443978.355669,111562128.39358187
1574443978.455765,119149476.51974471
1574443978.559682,110967509.9466095
1574443978.663823,115432442.77542642
1574443978.763944,117395817.10575552
1574443978.863977,113288116.74103037
1574443978.968053,113553375.50859924
1574443979.068228,114193703.25716163
1574443979.168314,118019687.60681373
1574443979.268447,116472115.18267538
1574443979.369229,198706861.8964409
1574443979.471215,306418815.25533175
1574443979.573501,306980053.5611142
1574443979.675542,305811098.89130956
1574443979.777321,307446641.23180765
1574443979.879003,307832494.3521216
1574443979.980652,307611807.5118281
1574443980.082364,307910350.9973239
1574443980.184123,307411301.7918379
1574443980.285816,308324535.4039173
1574443980.38729,308172258.76796204
